,Random_IDs,Sonata_Section,Feature,Mod_Type,DV,DV2,Education_Level,Years_Theory,Years_Skills,Schemata_Expertise,Excerpt_Familiarity,Excerpt_Analysis,Solfege_Hearing,Schema_Hearing,Perfect_Pitch?,Interpretation_App,Expertise_Group,Expertise_Group_solf,Sonata_Order,Expo_Order,Expo_Bass_Order,Expo_Sop_Order,Expo_Schema_Order,Recap_Order,Recap_Bass_Order,Recap_Sop_Order,Recap_Schema_Order,Familiarity_Cat,Familiarity_Numeric,Expertise_Numeric,Analysis_Numeric
161,913,Recapitulation,Soprano,Prinner,4.7,1.0,Professor,10 + years,10 + years,Completely unfamiliar,I have heard this before,"No, not at all",7.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",Novice,Expert,2,5,1,1,2,3,1,1,2,Medium,2.0,1.0,1.0
162,834,Recapitulation,Soprano,Romanesca,5.4,5.1,Graduate Student,5-10 years,5-10 years,Familiar,This was the first time I have heard this,"No, not at all",6.2,5.7,No,I imagined scale degrees or solfege as I listened,Intermediate,Intermediate,1,3,2,2,2,1,2,2,1,Low,1.0,2.0,1.0
163,834,Recapitulation,Soprano,Prinner,6.9,5.1,Graduate Student,5-10 years,5-10 years,Familiar,This was the first time I have heard this,"No, not at all",6.2,5.7,No,I imagined scale degrees or solfege as I listened,Intermediate,Intermediate,1,3,2,2,2,1,2,2,1,Low,1.0,2.0,1.0
164,719,Recapitulation,Soprano,Romanesca,5.0,5.4,Graduate Student,1-2 years,3-5 years,Somewhat familiar,I have heard this before,"No, not at all",5.3,4.5,No,"I imagined scale degrees or solfege as I listened,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,3,2,2,1,6,2,1,1,Medium,2.0,2.0,1.0
165,719,Recapitulation,Soprano,Prinner,6.0,5.4,Graduate Student,1-2 years,3-5 years,Somewhat familiar,I have heard this before,"No, not at all",5.3,4.5,No,"I imagined scale degrees or solfege as I listened,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,3,2,2,1,6,2,1,1,Medium,2.0,2.0,1.0
166,862,Recapitulation,Soprano,Romanesca,1.6,1.9,Graduate Student,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",5.5,4.9,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Intermediate,1,3,1,1,1,3,1,2,2,Low,1.0,2.0,1.0
167,862,Recapitulation,Soprano,Prinner,2.7,1.9,Graduate Student,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",5.5,4.9,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Intermediate,1,3,1,1,1,3,1,2,2,Low,1.0,2.0,1.0
168,686,Recapitulation,Soprano,Romanesca,6.3,5.2,Professor,10 + years,10 + years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Expert,2,1,2,1,1,4,1,1,1,Low,1.0,2.0,1.0
169,686,Recapitulation,Soprano,Prinner,6.0,5.2,Professor,10 + years,10 + years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Expert,2,1,2,1,1,4,1,1,1,Low,1.0,2.0,1.0
172,998,Recapitulation,Soprano,Romanesca,4.0,1.0,Postdoctoral Researcher,10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",4.0,2.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,1,6,1,2,2,3,1,1,1,Low,1.0,1.0,1.0
173,998,Recapitulation,Soprano,Prinner,2.0,1.0,Postdoctoral Researcher,10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",4.0,2.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,1,6,1,2,2,3,1,1,1,Low,1.0,1.0,1.0
174,473,Recapitulation,Soprano,Romanesca,6.0,1.0,Postdoctoral Researcher,10 + years,5-10 years,Somewhat familiar,I have heard this before,"No, not at all",6.0,5.1,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,5,1,1,1,3,2,1,2,Medium,2.0,2.0,1.0
175,473,Recapitulation,Soprano,Prinner,1.3,1.0,Postdoctoral Researcher,10 + years,5-10 years,Somewhat familiar,I have heard this before,"No, not at all",6.0,5.1,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,5,1,1,1,3,2,1,2,Medium,2.0,2.0,1.0
176,895,Recapitulation,Soprano,Romanesca,2.0,1.0,Graduate Student,5-10 years,5-10 years,Completely unfamiliar,This was the first time I have heard this,"No, not at all",4.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,2,6,2,1,1,2,2,2,2,Low,1.0,1.0,1.0
177,895,Recapitulation,Soprano,Prinner,2.0,1.0,Graduate Student,5-10 years,5-10 years,Completely unfamiliar,This was the first time I have heard this,"No, not at all",4.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,2,6,2,1,1,2,2,2,2,Low,1.0,1.0,1.0
178,326,Recapitulation,Soprano,Romanesca,5.1,5.1,Graduate Student,5-10 years,3-5 years,Familiar,I am very familiar with this piece,"Yes, somewhat",6.1,4.0,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,1,1,1,1,3,2,1,1,High,3.0,2.0,2.0
179,326,Recapitulation,Soprano,Prinner,6.5,5.1,Graduate Student,5-10 years,3-5 years,Familiar,I am very familiar with this piece,"Yes, somewhat",6.1,4.0,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,1,1,1,1,3,2,1,1,High,3.0,2.0,2.0
180,381,Recapitulation,Soprano,Romanesca,1.0,1.0,"Other, please specify:",10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",7.0,1.0,Yes,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Novice,Expert,1,5,1,2,2,6,1,1,2,Low,1.0,1.0,1.0
181,381,Recapitulation,Soprano,Prinner,1.0,1.0,"Other, please specify:",10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",7.0,1.0,Yes,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Novice,Expert,1,5,1,2,2,6,1,1,2,Low,1.0,1.0,1.0
182,268,Recapitulation,Soprano,Romanesca,3.0,5.0,Professor,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,5.5,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I played an instrument",Intermediate,Intermediate,2,1,2,2,1,6,2,1,2,Low,1.0,2.0,1.0
183,268,Recapitulation,Soprano,Prinner,1.9,5.0,Professor,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,5.5,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I played an instrument",Intermediate,Intermediate,2,1,2,2,1,6,2,1,2,Low,1.0,2.0,1.0
184,883,Recapitulation,Soprano,Romanesca,7.0,5.1,Professor,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",5.0,3.0,No,"I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening",Intermediate,Intermediate,1,2,1,2,2,5,1,2,1,High,3.0,2.0,2.0
185,883,Recapitulation,Soprano,Prinner,7.0,5.1,Professor,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",5.0,3.0,No,"I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening",Intermediate,Intermediate,1,2,1,2,2,5,1,2,1,High,3.0,2.0,2.0
186,475,Recapitulation,Soprano,Romanesca,2.0,1.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,Yes,Other (please specify),Expert,Expert,2,1,2,1,1,2,2,1,2,Medium,2.0,3.0,1.0
187,475,Recapitulation,Soprano,Prinner,7.0,1.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,Yes,Other (please specify),Expert,Expert,2,1,2,1,1,2,2,1,2,Medium,2.0,3.0,1.0
188,392,Recapitulation,Soprano,Romanesca,3.8,3.7,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",5.9,4.2,Yes,"I have no idea, I could just hear it!",Expert,Expert,1,1,1,2,2,1,1,2,2,Medium,2.0,3.0,1.0
189,392,Recapitulation,Soprano,Prinner,3.0,3.7,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",5.9,4.2,Yes,"I have no idea, I could just hear it!",Expert,Expert,1,1,1,2,2,1,1,2,2,Medium,2.0,3.0,1.0
190,244,Recapitulation,Soprano,Romanesca,7.0,2.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege),I played an instrument",Expert,Expert,2,1,2,1,1,2,2,2,1,Medium,2.0,3.0,1.0
191,244,Recapitulation,Soprano,Prinner,1.2,2.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege),I played an instrument",Expert,Expert,2,1,2,1,1,2,2,2,1,Medium,2.0,3.0,1.0
192,148,Recapitulation,Soprano,Romanesca,5.5,1.2,Professor,10 + years,10 + years,Somewhat familiar,I have heard this before,"No, not at all",6.0,4.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Intermediate,Intermediate,1,5,2,1,1,4,1,1,1,Medium,2.0,2.0,1.0
193,148,Recapitulation,Soprano,Prinner,3.0,1.2,Professor,10 + years,10 + years,Somewhat familiar,I have heard this before,"No, not at all",6.0,4.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Intermediate,Intermediate,1,5,2,1,1,4,1,1,1,Medium,2.0,2.0,1.0
194,701,Recapitulation,Soprano,Romanesca,2.3,1.4,Graduate Student,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",6.3,6.7,No,"I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Expert,Intermediate,2,3,1,2,2,6,1,2,2,High,3.0,3.0,2.0
195,701,Recapitulation,Soprano,Prinner,7.0,1.4,Graduate Student,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",6.3,6.7,No,"I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Expert,Intermediate,2,3,1,2,2,6,1,2,2,High,3.0,3.0,2.0
196,540,Recapitulation,Soprano,Romanesca,6.3,3.0,Professor,5-10 years,5-10 years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"Yes, somewhat",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I played an instrument",Expert,Expert,2,3,2,2,2,4,2,2,2,High,3.0,3.0,2.0
197,540,Recapitulation,Soprano,Prinner,5.0,3.0,Professor,5-10 years,5-10 years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"Yes, somewhat",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I played an instrument",Expert,Expert,2,3,2,2,2,4,2,2,2,High,3.0,3.0,2.0
198,495,Recapitulation,Soprano,Romanesca,6.0,4.0,Professor,5-10 years,3-5 years,Very familiar,This was the first time I have heard this,"No, not at all",6.0,5.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,4,1,1,1,3,2,1,1,Low,1.0,2.0,1.0
199,495,Recapitulation,Soprano,Prinner,4.0,4.0,Professor,5-10 years,3-5 years,Very familiar,This was the first time I have heard this,"No, not at all",6.0,5.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,4,1,1,1,3,2,1,1,Low,1.0,2.0,1.0
200,913,Recapitulation,Schema,Romanesca,4.1,4.1,Professor,10 + years,10 + years,Completely unfamiliar,I have heard this before,"No, not at all",7.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",Novice,Expert,2,5,1,1,2,3,1,1,2,Medium,2.0,1.0,1.0
201,913,Recapitulation,Schema,Prinner,7.0,4.1,Professor,10 + years,10 + years,Completely unfamiliar,I have heard this before,"No, not at all",7.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",Novice,Expert,2,5,1,1,2,3,1,1,2,Medium,2.0,1.0,1.0
202,834,Recapitulation,Schema,Romanesca,6.0,4.5,Graduate Student,5-10 years,5-10 years,Familiar,This was the first time I have heard this,"No, not at all",6.2,5.7,No,I imagined scale degrees or solfege as I listened,Intermediate,Intermediate,1,3,2,2,2,1,2,2,1,Low,1.0,2.0,1.0
203,834,Recapitulation,Schema,Prinner,6.3,4.5,Graduate Student,5-10 years,5-10 years,Familiar,This was the first time I have heard this,"No, not at all",6.2,5.7,No,I imagined scale degrees or solfege as I listened,Intermediate,Intermediate,1,3,2,2,2,1,2,2,1,Low,1.0,2.0,1.0
204,719,Recapitulation,Schema,Romanesca,5.6,5.3,Graduate Student,1-2 years,3-5 years,Somewhat familiar,I have heard this before,"No, not at all",5.3,4.5,No,"I imagined scale degrees or solfege as I listened,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,3,2,2,1,6,2,1,1,Medium,2.0,2.0,1.0
205,719,Recapitulation,Schema,Prinner,6.3,5.3,Graduate Student,1-2 years,3-5 years,Somewhat familiar,I have heard this before,"No, not at all",5.3,4.5,No,"I imagined scale degrees or solfege as I listened,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,3,2,2,1,6,2,1,1,Medium,2.0,2.0,1.0
206,862,Recapitulation,Schema,Romanesca,4.7,3.2,Graduate Student,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",5.5,4.9,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Intermediate,1,3,1,1,1,3,1,2,2,Low,1.0,2.0,1.0
207,862,Recapitulation,Schema,Prinner,7.0,3.2,Graduate Student,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",5.5,4.9,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Intermediate,1,3,1,1,1,3,1,2,2,Low,1.0,2.0,1.0
208,686,Recapitulation,Schema,Romanesca,7.0,6.5,Professor,10 + years,10 + years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Expert,2,1,2,1,1,4,1,1,1,Low,1.0,2.0,1.0
209,686,Recapitulation,Schema,Prinner,6.1,6.5,Professor,10 + years,10 + years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Intermediate,Expert,2,1,2,1,1,4,1,1,1,Low,1.0,2.0,1.0
212,998,Recapitulation,Schema,Romanesca,4.0,2.0,Postdoctoral Researcher,10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",4.0,2.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,1,6,1,2,2,3,1,1,1,Low,1.0,1.0,1.0
213,998,Recapitulation,Schema,Prinner,4.0,2.0,Postdoctoral Researcher,10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",4.0,2.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,1,6,1,2,2,3,1,1,1,Low,1.0,1.0,1.0
214,473,Recapitulation,Schema,Romanesca,6.4,1.6,Postdoctoral Researcher,10 + years,5-10 years,Somewhat familiar,I have heard this before,"No, not at all",6.0,5.1,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,5,1,1,1,3,2,1,2,Medium,2.0,2.0,1.0
215,473,Recapitulation,Schema,Prinner,1.8,1.6,Postdoctoral Researcher,10 + years,5-10 years,Somewhat familiar,I have heard this before,"No, not at all",6.0,5.1,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,5,1,1,1,3,2,1,2,Medium,2.0,2.0,1.0
216,895,Recapitulation,Schema,Romanesca,1.0,1.0,Graduate Student,5-10 years,5-10 years,Completely unfamiliar,This was the first time I have heard this,"No, not at all",4.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,2,6,2,1,1,2,2,2,2,Low,1.0,1.0,1.0
217,895,Recapitulation,Schema,Prinner,1.0,1.0,Graduate Student,5-10 years,5-10 years,Completely unfamiliar,This was the first time I have heard this,"No, not at all",4.0,1.0,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings,I sang or spoke (without scale degrees or solfege)",Novice,Intermediate,2,6,2,1,1,2,2,2,2,Low,1.0,1.0,1.0
218,326,Recapitulation,Schema,Romanesca,7.0,5.6,Graduate Student,5-10 years,3-5 years,Familiar,I am very familiar with this piece,"Yes, somewhat",6.1,4.0,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,1,1,1,1,3,2,1,1,High,3.0,2.0,2.0
219,326,Recapitulation,Schema,Prinner,6.1,5.6,Graduate Student,5-10 years,3-5 years,Familiar,I am very familiar with this piece,"Yes, somewhat",6.1,4.0,No,I spoke or sang scale degrees or solfege while listening,Intermediate,Intermediate,2,1,1,1,1,3,2,1,1,High,3.0,2.0,2.0
220,381,Recapitulation,Schema,Romanesca,1.0,6.5,"Other, please specify:",10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",7.0,1.0,Yes,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Novice,Expert,1,5,1,2,2,6,1,1,2,Low,1.0,1.0,1.0
221,381,Recapitulation,Schema,Prinner,7.0,6.5,"Other, please specify:",10 + years,10 + years,Somewhat familiar,This was the first time I have heard this,"No, not at all",7.0,1.0,Yes,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",Novice,Expert,1,5,1,2,2,6,1,1,2,Low,1.0,1.0,1.0
222,268,Recapitulation,Schema,Romanesca,1.5,3.5,Professor,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,5.5,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I played an instrument",Intermediate,Intermediate,2,1,2,2,1,6,2,1,2,Low,1.0,2.0,1.0
223,268,Recapitulation,Schema,Prinner,6.2,3.5,Professor,5-10 years,5-10 years,Very familiar,This was the first time I have heard this,"No, not at all",7.0,5.5,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I played an instrument",Intermediate,Intermediate,2,1,2,2,1,6,2,1,2,Low,1.0,2.0,1.0
224,883,Recapitulation,Schema,Romanesca,6.2,1.1,Professor,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",5.0,3.0,No,"I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening",Intermediate,Intermediate,1,2,1,2,2,5,1,2,1,High,3.0,2.0,2.0
225,883,Recapitulation,Schema,Prinner,7.0,1.1,Professor,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",5.0,3.0,No,"I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening",Intermediate,Intermediate,1,2,1,2,2,5,1,2,1,High,3.0,2.0,2.0
226,475,Recapitulation,Schema,Romanesca,2.0,2.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,Yes,Other (please specify),Expert,Expert,2,1,2,1,1,2,2,1,2,Medium,2.0,3.0,1.0
227,475,Recapitulation,Schema,Prinner,7.0,2.0,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,Yes,Other (please specify),Expert,Expert,2,1,2,1,1,2,2,1,2,Medium,2.0,3.0,1.0
228,392,Recapitulation,Schema,Romanesca,3.0,3.8,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",5.9,4.2,Yes,"I have no idea, I could just hear it!",Expert,Expert,1,1,1,2,2,1,1,2,2,Medium,2.0,3.0,1.0
229,392,Recapitulation,Schema,Prinner,4.5,3.8,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",5.9,4.2,Yes,"I have no idea, I could just hear it!",Expert,Expert,1,1,1,2,2,1,1,2,2,Medium,2.0,3.0,1.0
230,244,Recapitulation,Schema,Romanesca,1.5,1.5,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege),I played an instrument",Expert,Expert,2,1,2,1,1,2,2,2,1,Medium,2.0,3.0,1.0
231,244,Recapitulation,Schema,Prinner,7.0,1.5,Professor,10 + years,10 + years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"No, not at all",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege),I played an instrument",Expert,Expert,2,1,2,1,1,2,2,2,1,Medium,2.0,3.0,1.0
232,148,Recapitulation,Schema,Romanesca,7.0,6.0,Professor,10 + years,10 + years,Somewhat familiar,I have heard this before,"No, not at all",6.0,4.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Intermediate,Intermediate,1,5,2,1,1,4,1,1,1,Medium,2.0,2.0,1.0
233,148,Recapitulation,Schema,Prinner,6.0,6.0,Professor,10 + years,10 + years,Somewhat familiar,I have heard this before,"No, not at all",6.0,4.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Intermediate,Intermediate,1,5,2,1,1,4,1,1,1,Medium,2.0,2.0,1.0
234,701,Recapitulation,Schema,Romanesca,1.2,1.1,Graduate Student,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",6.3,6.7,No,"I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Expert,Intermediate,2,3,1,2,2,6,1,2,2,High,3.0,3.0,2.0
235,701,Recapitulation,Schema,Prinner,7.0,1.1,Graduate Student,10 + years,10 + years,Very familiar,I have heard this before,"Yes, somewhat",6.3,6.7,No,"I imagined scale degrees or solfege as I listened,I spoke or sang scale degrees or solfege while listening,I imagined or sung/spoke the interpretation between listenings",Expert,Intermediate,2,3,1,2,2,6,1,2,2,High,3.0,3.0,2.0
236,540,Recapitulation,Schema,Romanesca,5.6,7.0,Professor,5-10 years,5-10 years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"Yes, somewhat",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I played an instrument",Expert,Expert,2,3,2,2,2,4,2,2,2,High,3.0,3.0,2.0
237,540,Recapitulation,Schema,Prinner,7.0,7.0,Professor,5-10 years,5-10 years,"I am an expert (analysis, playing, composition, etc.)",I have heard this before,"Yes, somewhat",7.0,7.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I played an instrument",Expert,Expert,2,3,2,2,2,4,2,2,2,High,3.0,3.0,2.0
238,495,Recapitulation,Schema,Romanesca,4.0,3.0,Professor,5-10 years,3-5 years,Very familiar,This was the first time I have heard this,"No, not at all",6.0,5.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,4,1,1,1,3,2,1,1,Low,1.0,2.0,1.0
239,495,Recapitulation,Schema,Prinner,5.0,3.0,Professor,5-10 years,3-5 years,Very familiar,This was the first time I have heard this,"No, not at all",6.0,5.0,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I spoke or sang scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",Intermediate,Intermediate,2,4,1,1,1,3,2,1,1,Low,1.0,2.0,1.0
